series,method,home,count,refr,rep,has_pressure,f1,timing_err_min,recall,delay_oracle,delay_obs,cost_min
pir_only,centralized,pir_only_21,2,5,60,True,0.07685738684884715,1.3833333333333333,0.2916666666666667,7.593333333333333,120.0,112.40666666666667
pir_only,centralized,pir_only_22,2,5,60,True,0.15625720212030422,1.3166666666666667,0.3541666666666667,11.416666666666666,120.0,108.58333333333333
pir_only,centralized,pir_only_23,2,5,60,True,0.07338037203335472,1.575,0.375,6.683333333333333,120.0,113.31666666666666
pir_only,fedavg,pir_only_0,1,5,0,True,0.08957549006880436,0.7666666666666667,0.22916666666666666,6.853333333333333,120.0,113.14666666666666
pir_only,fedavg,pir_only_1,1,5,0,True,0.03987689013782951,1.3166666666666667,0.2916666666666667,5.566666666666666,120.0,114.43333333333334
pir_only,fedavg,pir_only_2,1,5,0,True,0.05972947636266238,0.9166666666666666,0.22916666666666666,6.446666666666665,120.0,113.55333333333334
pir_only,fedavg,pir_only_3,1,5,0,True,0.0913595166163142,1.0833333333333333,0.2708333333333333,7.459999999999998,120.0,112.54
pir_only,fedavg,pir_only_4,1,5,30,True,0.14666321779617175,1.2416666666666667,0.125,7.79,120.0,112.21
pir_only,fedavg,pir_only_5,1,5,30,True,0.05901094334395346,1.7333333333333334,0.1875,4.449999999999998,120.0,115.55
pir_only,fedavg,pir_only_6,1,5,30,True,0.08775981524249422,1.45,0.14583333333333334,8.839999999999998,120.0,111.16
pir_only,fedavg,pir_only_7,1,5,30,True,0.06318639987964496,1.35,0.1875,4.503333333333332,120.0,115.49666666666667
pir_only,fedavg,pir_only_8,1,5,60,True,0.08351177730192719,1.5166666666666666,0.125,5.65,120.0,114.35
pir_only,fedavg,pir_only_9,1,5,60,True,0.05484004985459077,1.8666666666666667,0.0625,5.169999999999998,120.0,114.83
pir_only,fedavg,pir_only_10,1,5,60,True,0.05988967691095352,1.55,0.08333333333333333,5.3133333333333335,120.0,114.68666666666667
pir_only,fedavg,pir_only_11,1,5,60,True,0.10757706005157805,1.4833333333333334,0.08333333333333333,9.136666666666667,120.0,110.86333333333333
pir_only,fedavg,pir_only_12,1,30,30,True,0.12913540769893,1.5166666666666666,0.14583333333333334,12.399999999999999,120.0,107.6
pir_only,fedavg,pir_only_13,1,30,30,True,0.05608283002588438,1.1333333333333333,0.10416666666666667,7.293333333333333,120.0,112.70666666666666
pir_only,fedavg,pir_only_14,1,30,30,True,0.16487455197132617,0.8083333333333333,0.125,12.989999999999995,120.0,107.01
pir_only,fedavg,pir_only_15,1,30,30,True,0.1695211901487686,1.3416666666666666,0.25,6.253333333333332,120.0,113.74666666666667
pir_only,fedavg,pir_only_16,2,5,0,True,0.07032908704883227,0.3333333333333333,0.14583333333333334,5.803333333333333,120.0,114.19666666666667
pir_only,fedavg,pir_only_17,2,5,0,True,0.0575951958509622,1.35,0.2708333333333333,6.119999999999999,120.0,113.88
pir_only,fedavg,pir_only_18,2,5,0,True,0.13737373737373734,1.0833333333333333,0.14583333333333334,8.256666666666664,120.0,111.74333333333334
pir_only,fedavg,pir_only_19,2,5,0,True,0.11471833696907482,0.9333333333333333,0.2708333333333333,6.966666666666662,120.0,113.03333333333333
pir_only,fedavg,pir_only_20,2,5,60,True,0.09437854564208356,1.8,0.0625,7.046666666666665,120.0,112.95333333333333
pir_only,fedavg,pir_only_21,2,5,60,True,0.07861635220125786,1.5666666666666667,0.14583333333333334,7.593333333333333,120.0,112.40666666666667
pir_only,fedavg,pir_only_22,2,5,60,True,0.15978301072617435,1.6666666666666667,0.20833333333333334,11.416666666666666,120.0,108.58333333333333
pir_only,fedavg,pir_only_23,2,5,60,True,0.07306947135344588,1.5,0.125,6.683333333333333,120.0,113.31666666666666
pir_only,modality_group,pir_only_0,1,5,0,True,0.08438735177865611,0.7166666666666667,0.4375,6.853333333333333,120.0,113.14666666666666
pir_only,modality_group,pir_only_1,1,5,0,True,0.05143388884189155,,0.0,5.566666666666666,120.0,114.43333333333334
pir_only,modality_group,pir_only_2,1,5,0,True,0.06241616739694179,0.25,0.9791666666666666,6.446666666666665,6.696666666666665,0.25
pir_only,modality_group,pir_only_3,1,5,0,True,0.09167998033673345,1.0833333333333333,0.22916666666666666,7.459999999999998,120.0,112.54
pir_only,modality_group,pir_only_4,1,5,30,True,0.20748522652659226,1.4833333333333334,0.10416666666666667,7.79,120.0,112.21
pir_only,modality_group,pir_only_5,1,5,30,True,0.05970324321154184,0.6583333333333333,1.0,4.449999999999998,5.108333333333332,0.6583333333333333
pir_only,modality_group,pir_only_6,1,5,30,True,0.08925664677156808,1.2833333333333334,0.14583333333333334,8.839999999999998,120.0,111.16
pir_only,modality_group,pir_only_7,1,5,30,True,0.05840964931874023,0.4666666666666667,1.0,4.503333333333332,4.969999999999999,0.4666666666666667
pir_only,modality_group,pir_only_8,1,5,60,True,0.07657160863400031,1.1,0.9166666666666666,5.65,6.8500000000000005,1.2
pir_only,modality_group,pir_only_9,1,5,60,True,0.06013137948458817,,0.0,5.169999999999998,120.0,114.83
pir_only,modality_group,pir_only_10,1,5,60,True,0.07012693226090236,,0.0,5.3133333333333335,120.0,114.68666666666667
pir_only,modality_group,pir_only_11,1,5,60,True,0.10815195349466,1.4333333333333333,0.10416666666666667,9.136666666666667,120.0,110.86333333333333
pir_only,modality_group,pir_only_12,1,30,30,True,0.1886904761904762,1.4916666666666667,0.08333333333333333,12.399999999999999,120.0,107.6
pir_only,modality_group,pir_only_13,1,30,30,True,0.05263157894736842,0.8666666666666667,0.9166666666666666,7.293333333333333,8.193333333333333,0.9
pir_only,modality_group,pir_only_14,1,30,30,True,0.27962716378162444,0.4,0.020833333333333332,12.989999999999995,120.0,107.01
pir_only,modality_group,pir_only_15,1,30,30,True,0.397223705285638,1.4833333333333334,0.020833333333333332,6.253333333333332,120.0,113.74666666666667
pir_only,modality_group,pir_only_16,2,5,0,True,0.06444550865430664,1.2,0.875,5.803333333333333,7.028333333333332,1.225
pir_only,modality_group,pir_only_17,2,5,0,True,0.06168216434552109,,0.0,6.119999999999999,120.0,113.88
pir_only,modality_group,pir_only_18,2,5,0,True,0.18565135305223412,1.25,0.0625,8.256666666666664,120.0,111.74333333333334
pir_only,modality_group,pir_only_19,2,5,0,True,0.13055859802847755,1.1,0.20833333333333334,6.966666666666662,120.0,113.03333333333333
pir_only,modality_group,pir_only_20,2,5,60,True,0.10413423283169003,1.4,0.2708333333333333,7.046666666666665,120.0,112.95333333333333
pir_only,modality_group,pir_only_21,2,5,60,True,0.07076755579749591,1.3833333333333333,0.4375,7.593333333333333,120.0,112.40666666666667
pir_only,modality_group,pir_only_22,2,5,60,True,0.20832049306625577,1.2833333333333334,0.0625,11.416666666666666,120.0,108.58333333333333
pir_only,modality_group,pir_only_23,2,5,60,True,0.07427266408499653,1.4666666666666666,0.5208333333333334,6.683333333333333,8.549999999999999,1.8666666666666667
pir_pressure,local,pir_pressure_0,1,5,0,True,0.5184344866704482,0.1,0.9583333333333334,6.853333333333333,6.953333333333332,0.1
pir_pressure,local,pir_pressure_1,1,5,0,True,1.0,0.06666666666666667,0.9791666666666666,5.566666666666666,5.633333333333333,0.06666666666666667
pir_pressure,local,pir_pressure_2,1,5,0,True,1.0,0.1,0.9791666666666666,6.446666666666665,6.546666666666665,0.1
pir_pressure,local,pir_pressure_3,1,5,0,True,0.4122562674094707,0.31666666666666665,0.9166666666666666,7.459999999999998,7.776666666666665,0.31666666666666665
pir_pressure,local,pir_pressure_4,1,5,30,True,0.3044422507403752,1.4333333333333333,0.7083333333333334,7.79,9.315,1.525
pir_pressure,local,pir_pressure_5,1,5,30,True,0.999298245614035,0.06666666666666667,0.9583333333333334,4.449999999999998,4.516666666666665,0.06666666666666667
pir_pressure,local,pir_pressure_6,1,5,30,True,0.3657086223984143,0.16666666666666666,0.8958333333333334,8.839999999999998,9.039999999999997,0.2
pir_pressure,local,pir_pressure_7,1,5,30,True,1.0,0.08333333333333333,0.9375,4.503333333333332,4.586666666666665,0.08333333333333333
pir_pressure,local,pir_pressure_8,1,5,60,True,0.5788061703554661,0.08333333333333333,0.9791666666666666,5.65,5.733333333333333,0.08333333333333333
pir_pressure,local,pir_pressure_9,1,5,60,False,0.060925913554679675,0.8666666666666667,0.5625,5.169999999999998,6.828333333333331,1.6583333333333332
pir_pressure,local,pir_pressure_10,1,5,60,True,1.0,0.08333333333333333,1.0,5.3133333333333335,5.3966666666666665,0.08333333333333333
pir_pressure,local,pir_pressure_11,1,5,60,True,0.40242057488653554,0.11666666666666667,0.9791666666666666,9.136666666666667,9.253333333333334,0.11666666666666667
pir_pressure,local,pir_pressure_12,1,30,30,False,0.13175675675675674,1.35,0.14583333333333334,12.399999999999999,120.0,107.6
pir_pressure,local,pir_pressure_13,1,30,30,True,0.8403908794788273,0.08333333333333333,1.0,7.293333333333333,7.376666666666666,0.08333333333333333
pir_pressure,local,pir_pressure_14,1,30,30,False,0.17268862911795962,0.5,0.14583333333333334,12.989999999999995,120.0,107.01
pir_pressure,local,pir_pressure_15,1,30,30,False,0.18702910326488403,1.125,0.25,6.253333333333332,120.0,113.74666666666667
pir_pressure,local,pir_pressure_16,2,5,0,True,0.6559092891408634,0.08333333333333333,0.875,5.803333333333333,5.911666666666666,0.10833333333333334
pir_pressure,local,pir_pressure_17,2,5,0,True,1.0,0.08333333333333333,0.9791666666666666,6.119999999999999,6.203333333333332,0.08333333333333333
pir_pressure,local,pir_pressure_18,2,5,0,False,0.13708124759337698,0.9166666666666666,0.14583333333333334,8.256666666666664,120.0,111.74333333333334
pir_pressure,local,pir_pressure_19,2,5,0,True,0.31130434782608696,1.1833333333333333,0.7291666666666666,6.966666666666662,8.183333333333328,1.2166666666666666
pir_pressure,local,pir_pressure_20,2,5,60,True,0.3170789163722026,0.4,0.8958333333333334,7.046666666666665,7.446666666666665,0.4
pir_pressure,local,pir_pressure_21,2,5,60,False,0.07532526820360648,1.725,0.3333333333333333,7.593333333333333,120.0,112.40666666666667
pir_pressure,local,pir_pressure_22,2,5,60,True,0.31406761177753545,1.3166666666666667,0.75,11.416666666666666,12.799999999999999,1.3833333333333333
pir_pressure,local,pir_pressure_23,2,5,60,True,0.475,0.08333333333333333,1.0,6.683333333333333,6.766666666666666,0.08333333333333333
pir_pressure,centralized,pir_pressure_0,1,5,0,True,0.26123046875000006,1.6166666666666667,0.7083333333333334,6.853333333333333,8.503333333333332,1.65
pir_pressure,centralized,pir_pressure_1,1,5,0,True,0.14239320509617787,1.6333333333333333,0.5208333333333334,5.566666666666666,7.283333333333333,1.7166666666666666
pir_pressure,centralized,pir_pressure_2,1,5,0,True,0.19370819915779044,1.6,0.625,6.446666666666665,8.104999999999999,1.6583333333333332
pir_pressure,centralized,pir_pressure_3,1,5,0,True,0.2424368871270603,1.6166666666666667,0.6458333333333334,7.459999999999998,9.126666666666665,1.6666666666666667
pir_pressure,centralized,pir_pressure_4,1,5,30,True,0.34761045987376016,1.4666666666666666,0.6875,7.79,9.356666666666667,1.5666666666666667
pir_pressure,centralized,pir_pressure_5,1,5,30,True,0.19700680272108845,1.4,0.5833333333333334,4.449999999999998,6.058333333333332,1.6083333333333334
pir_pressure,centralized,pir_pressure_6,1,5,30,True,0.23475756120979357,1.3666666666666667,0.5208333333333334,8.839999999999998,10.489999999999998,1.65
pir_pressure,centralized,pir_pressure_7,1,5,30,True,0.20918212222560045,1.4416666666666667,0.5,4.503333333333332,63.14333333333333,58.64
pir_pressure,centralized,pir_pressure_8,1,5,60,True,0.2355792535142996,1.1166666666666667,0.6458333333333334,5.65,7.008333333333334,1.3583333333333334
pir_pressure,centralized,pir_pressure_9,1,5,60,False,0.05714285714285715,0.8916666666666667,0.8333333333333334,5.169999999999998,6.128333333333331,0.9583333333333333
pir_pressure,centralized,pir_pressure_10,1,5,60,True,0.21476510067114093,1.2166666666666666,0.7291666666666666,5.3133333333333335,6.63,1.3166666666666667
pir_pressure,centralized,pir_pressure_11,1,5,60,True,0.2821264127249895,1.05,0.7083333333333334,9.136666666666667,10.395,1.2583333333333333
pir_pressure,centralized,pir_pressure_12,1,30,30,False,0.10575539568345324,1.1833333333333333,0.8125,12.399999999999999,13.666666666666664,1.2666666666666666
pir_pressure,centralized,pir_pressure_13,1,30,30,True,0.17786451073320322,1.4,0.4791666666666667,7.293333333333333,120.0,112.70666666666666
pir_pressure,centralized,pir_pressure_14,1,30,30,False,0.12664683382915426,1.25,0.8125,12.989999999999995,14.389999999999995,1.4
pir_pressure,centralized,pir_pressure_15,1,30,30,False,0.12787461549729018,1.1333333333333333,0.7916666666666666,6.253333333333332,7.586666666666666,1.3333333333333335
pir_pressure,centralized,pir_pressure_16,2,5,0,True,0.19224441833137487,1.6333333333333333,0.5208333333333334,5.803333333333333,7.52,1.7166666666666666
pir_pressure,centralized,pir_pressure_17,2,5,0,True,0.19660319094184253,1.6,0.6041666666666666,6.119999999999999,7.786666666666666,1.6666666666666667
pir_pressure,centralized,pir_pressure_18,2,5,0,False,0.10795454545454546,1.2333333333333334,0.8958333333333334,8.256666666666664,9.54833333333333,1.2916666666666665
